rank,name,gender,origin,rank_us,count,freq
1,james,m,US,1,5262396,526.2
2,john,m,US,2,5196210,519.6
3,robert,m,US,3,4866007,486.6
4,michael,m,US,4,4440391,444.0
5,william,m,US,5,4205026,420.5
6,mary,f,US,6,4154332,415.4
7,david,m,US,7,3682683,368.3
8,joseph,m,US,8,2672746,267.3
9,richard,m,US,9,2585535,258.6
10,charles,m,US,10,2441151,244.1
11,thomas,m,US,11,2360128,236.0
12,christopher,m,US,12,2074303,207.4
13,daniel,m,US,13,1982857,198.3
14,elizabeth,f,US,14,1687089,168.7
15,matthew,m,US,15,1652565,165.3
16,patricia,f,US,16,1578408,157.8
17,george,m,US,17,1494369,149.4
18,anthony,m,US,18,1489090,148.9
19,jennifer,f,US,19,1476028,147.6
20,linda,f,US,20,1458588,145.9
21,barbara,f,US,21,1440537,144.1
22,donald,m,US,22,1419980,142.0
23,paul,m,US,23,1402786,140.3
24,mark,m,US,24,1365265,136.5
25,andrew,m,US,25,1329846,133.0
26,edward,m,US,26,1307348,130.7
27,steven,m,US,27,1296316,129.6
28,kenneth,m,US,28,1288147,128.8
29,margaret,f,US,29,1266052,126.6
30,joshua,m,US,30,1249012,124.9
31,kevin,m,US,31,1188207,118.8
32,brian,m,US,32,1177325,117.7
33,susan,f,US,33,1125774,112.6
34,dorothy,f,US,34,1115156,111.5
35,sarah,f,US,35,1099063,109.9
36,timothy,m,US,36,1086730,108.7
37,ronald,m,US,37,1085633,108.6
38,jason,m,US,38,1054860,105.5
39,jessica,f,US,39,1053884,105.4
40,helen,f,US,40,1026632,102.7
41,nancy,f,US,41,1007116,100.7
42,betty,f,US,42,1004638,100.5
43,karen,f,US,43,990595,99.1
44,ryan,m,US,44,987785,98.8
45,jacob,m,US,45,984245,98.4
46,jeffrey,m,US,46,982547,98.3
47,lisa,f,US,47,969749,97.0
48,nicholas,m,US,48,926036,92.6
49,frank,m,US,49,920009,92.0
50,anna,f,US,50,915007,91.5
51,gary,m,US,51,905223,90.5
52,emily,f,US,52,892769,89.3
53,eric,m,US,53,891929,89.2
54,sandra,f,US,54,878026,87.8
55,ashley,f,US,55,873844,87.4
56,jonathan,m,US,56,870561,87.1
57,stephen,m,US,57,866834,86.7
58,kimberly,f,US,58,849647,85.0
59,ruth,f,US,59,837080,83.7
60,donna,f,US,60,833769,83.4
61,carol,f,US,61,825494,82.5
62,benjamin,m,US,62,819436,81.9
63,michelle,f,US,63,819099,81.9
64,samuel,m,US,64,814600,81.5
65,larry,m,US,65,810934,81.1
66,laura,f,US,66,803566,80.4
67,justin,m,US,67,792731,79.3
68,amanda,f,US,68,792151,79.2
69,raymond,m,US,69,782472,78.2
70,scott,m,US,70,777059,77.7
71,brandon,m,US,71,773294,77.3
72,emma,f,US,72,765264,76.5
73,melissa,f,US,73,761881,76.2
74,henry,m,US,74,761424,76.1
75,rebecca,f,US,75,757198,75.7
76,jack,m,US,76,750859,75.1
77,stephanie,f,US,77,747234,74.7
78,deborah,f,US,78,744162,74.4
79,alexander,m,US,79,733348,73.3
80,sharon,f,US,80,725947,72.6
81,kathleen,f,US,81,715129,71.5
82,gregory,m,US,82,714266,71.4
83,cynthia,f,US,83,713161,71.3
84,amy,f,US,84,702270,70.2
85,shirley,f,US,85,695797,69.6
86,patrick,m,US,86,687932,68.8
87,angela,f,US,87,674615,67.5
88,catherine,f,US,88,668624,66.9
89,virginia,f,US,89,654381,65.4
90,katherine,f,US,90,651062,65.1
91,walter,m,US,91,633415,63.3
92,evelyn,f,US,92,632472,63.2
93,jerry,m,US,93,632139,63.2
94,dennis,m,US,94,623306,62.3
95,tyler,m,US,95,619711,62.0
96,aaron,m,US,96,614747,61.5
97,brenda,f,US,97,610451,61.0
98,frances,f,US,98,599746,60.0
99,pamela,f,US,99,596378,59.6
100,willie,u,US,100,596221,59.6
101,nicole,f,US,101,595656,59.6
102,jose,m,US,102,592999,59.3
103,samantha,f,US,103,592059,59.2
104,peter,m,US,104,589576,59.0
105,christine,f,US,105,588308,58.8
106,alice,f,US,106,586537,58.7
107,nathan,m,US,107,584253,58.4
108,adam,m,US,108,578925,57.9
109,rachel,f,US,109,574486,57.4
110,maria,f,US,110,567411,56.7
111,douglas,m,US,111,561781,56.2
112,janet,f,US,112,558224,55.8
113,carolyn,f,US,113,558213,55.8
114,kelly,u,US,114,555958,55.6
115,olivia,f,US,115,554445,55.4
116,harold,m,US,116,554046,55.4
117,martha,f,US,117,553316,55.3
118,debra,f,US,118,551809,55.2
119,zachary,m,US,119,551618,55.2
120,arthur,m,US,120,548057,54.8
121,marie,f,US,121,541788,54.2
122,jordan,u,US,122,533499,53.3
123,grace,f,US,123,531126,53.1
124,heather,f,US,124,527210,52.7
125,victoria,f,US,125,525116,52.5
126,terry,u,US,126,521274,52.1
127,diane,f,US,127,519974,52.0
128,noah,m,US,128,513572,51.4
129,julie,f,US,129,512472,51.2
130,joyce,f,US,130,511995,51.2
131,carl,m,US,131,507825,50.8
132,rose,f,US,132,500276,50.0
133,kyle,m,US,133,494085,49.4
134,albert,m,US,134,493950,49.4
135,joan,f,US,135,488485,48.8
136,jean,f,US,136,483213,48.3
137,christina,f,US,137,481348,48.1
138,lauren,f,US,138,480615,48.1
139,ethan,m,US,139,480199,48.0
140,julia,f,US,140,475798,47.6
141,lillian,f,US,141,472453,47.2
142,ann,f,US,142,471397,47.1
143,christian,m,US,143,470105,47.0
144,doris,f,US,144,465726,46.6
145,joe,m,US,145,464326,46.4
146,lawrence,m,US,146,462765,46.3
147,hannah,f,US,147,462368,46.2
148,kathryn,f,US,148,456128,45.6
149,judith,f,US,149,455602,45.6
150,mildred,f,US,150,452895,45.3
151,gerald,m,US,151,451178,45.1
152,andrea,f,US,152,450102,45.0
153,jeremy,m,US,153,447588,44.8
154,roger,m,US,154,443528,44.4
155,jesse,m,US,155,442811,44.3
156,taylor,u,US,156,442493,44.2
157,megan,f,US,157,440869,44.1
158,charlotte,f,US,158,440706,44.1
159,cheryl,f,US,159,440480,44.0
160,austin,m,US,160,440461,44.0
161,keith,m,US,161,439808,44.0
162,sara,f,US,162,435846,43.6
163,dylan,m,US,163,428351,42.8
164,jacqueline,f,US,164,426929,42.7
165,sophia,f,US,165,426919,42.7
166,sean,m,US,166,425998,42.6
167,harry,m,US,167,425549,42.6
168,madison,f,US,168,422660,42.3
169,teresa,f,US,169,416911,41.7
170,gloria,f,US,170,416573,41.7
171,ralph,m,US,171,415639,41.6
172,logan,m,US,172,413411,41.3
173,alexis,u,US,173,411469,41.1
174,roy,m,US,174,410743,41.1
175,abigail,f,US,175,408907,40.9
176,louis,m,US,176,407900,40.8
177,janice,f,US,177,407532,40.8
178,isabella,f,US,178,406648,40.7
179,theresa,f,US,179,405689,40.6
180,gabriel,m,US,180,395945,39.6
181,bryan,m,US,181,390298,39.0
182,billy,m,US,182,389442,38.9
183,bruce,m,US,183,387708,38.8
184,judy,f,US,184,383965,38.4
185,eugene,m,US,185,383085,38.3
186,leslie,u,US,186,382987,38.3
187,beverly,f,US,187,382945,38.3
188,jane,f,US,188,379619,38.0
189,natalie,f,US,189,377072,37.7
190,ruby,f,US,190,376074,37.6
191,amber,f,US,191,375082,37.5
192,denise,f,US,192,374664,37.5
193,marilyn,f,US,193,374490,37.4
194,danielle,f,US,194,373134,37.3
195,elijah,m,US,195,370593,37.1
196,diana,f,US,196,368475,36.8
197,juan,m,US,197,366010,36.6
198,alan,m,US,198,362464,36.2
199,brittany,f,US,199,361465,36.1
200,vincent,m,US,200,361416,36.1
201,angel,u,US,201,360783,36.1
202,russell,m,US,202,360516,36.1
203,annie,f,US,203,360467,36.0
204,jamie,u,US,204,358757,35.9
205,irene,f,US,205,356354,35.6
206,wayne,m,US,206,355989,35.6
207,howard,m,US,207,348120,34.8
208,shannon,u,US,208,348046,34.8
209,ella,f,US,209,346302,34.6
210,kayla,f,US,210,346297,34.6
211,fred,m,US,211,345605,34.6
212,philip,m,US,212,344595,34.5
213,lori,f,US,213,342648,34.3
214,cameron,u,US,214,339893,34.0
215,tiffany,f,US,215,339751,34.0
216,florence,f,US,216,339743,34.0
217,mason,m,US,217,339506,34.0
218,shawn,u,US,218,339174,33.9
219,robin,u,US,219,338120,33.8
220,louise,f,US,220,338078,33.8
221,liam,m,US,221,338059,33.8
222,ava,f,US,222,336608,33.7
223,lois,f,US,223,335474,33.5
224,kathy,f,US,224,334823,33.5
225,randy,m,US,225,334271,33.4
226,tammy,f,US,226,333366,33.3
227,crystal,f,US,227,333092,33.3
228,bonnie,f,US,228,331920,33.2
229,victor,m,US,229,330536,33.1
230,eleanor,f,US,230,329630,33.0
231,josephine,f,US,231,328296,32.8
232,isaac,m,US,232,326231,32.6
233,erin,f,US,233,325703,32.6
234,anne,f,US,234,325475,32.5
235,bobby,m,US,235,324511,32.5
236,phyllis,f,US,236,323361,32.3
237,lucas,m,US,237,321316,32.1
238,johnny,m,US,238,320983,32.1
239,allison,f,US,239,320344,32.0
240,caleb,m,US,240,319707,32.0
241,francis,u,US,241,319430,31.9
242,luke,m,US,242,316587,31.7
243,martin,m,US,243,316023,31.6
244,alyssa,f,US,244,314344,31.4
245,bradley,m,US,245,314113,31.4
246,tracy,u,US,246,312774,31.3
247,phillip,m,US,247,312450,31.2
248,travis,m,US,248,309943,31.0
249,carlos,m,US,249,306621,30.7
250,audrey,f,US,250,305866,30.6
251,clarence,m,US,251,305304,30.5
252,theodore,m,US,252,304723,30.5
253,ernest,m,US,253,304137,30.4
254,stanley,m,US,254,302579,30.3
255,craig,m,US,255,300534,30.1
256,dale,m,US,256,299900,30.0
257,mia,f,US,257,299424,29.9
258,hazel,f,US,258,299063,29.9
259,clara,f,US,259,297914,29.8
260,edna,f,US,260,296064,29.6
261,cody,m,US,261,296063,29.6
262,lee,u,US,262,295534,29.6
263,leonard,m,US,263,295296,29.5
264,alex,m,US,264,294382,29.4
265,peggy,f,US,265,293549,29.4
266,tina,f,US,266,292991,29.3
267,luis,m,US,267,291974,29.2
268,earl,m,US,268,291355,29.1
269,jackson,m,US,269,291323,29.1
270,jimmy,m,US,270,290651,29.1
271,dawn,f,US,271,290592,29.1
272,evan,m,US,272,289934,29.0
273,danny,m,US,273,287870,28.8
274,nathaniel,m,US,274,285643,28.6
275,rita,f,US,275,285052,28.5
276,eva,f,US,276,283587,28.4
277,adrian,m,US,277,283427,28.3
278,todd,m,US,278,283295,28.3
279,wanda,f,US,279,282168,28.2
280,paula,f,US,280,281450,28.1
281,courtney,f,US,281,281315,28.1
282,jessie,u,US,282,280906,28.1
283,joel,m,US,283,280584,28.1
284,ethel,f,US,284,280380,28.0
285,norma,f,US,285,279251,27.9
286,ellen,f,US,286,275793,27.6
287,marjorie,f,US,287,274364,27.4
288,connie,f,US,288,273685,27.4
289,hunter,m,US,289,273451,27.3
290,allen,m,US,290,273148,27.3
291,valerie,f,US,291,271690,27.2
292,jayden,m,US,292,271246,27.1
293,edith,f,US,293,271104,27.1
294,esther,f,US,294,269879,27.0
295,amelia,f,US,295,268612,26.9
296,morgan,u,US,296,267755,26.8
297,gladys,f,US,297,267689,26.8
298,carrie,f,US,298,267476,26.7
299,frederick,m,US,299,266429,26.6
300,brianna,f,US,300,263840,26.4
301,wendy,f,US,301,263112,26.3
302,antonio,m,US,302,262883,26.3
303,curtis,m,US,303,262636,26.3
304,elaine,f,US,304,262525,26.3
305,vanessa,f,US,305,261777,26.2
306,marion,u,US,306,261565,26.2
307,melanie,f,US,307,261158,26.1
308,julian,m,US,308,260614,26.1
309,jasmine,f,US,309,258376,25.8
310,cindy,f,US,310,257965,25.8
311,oliver,m,US,311,255607,25.6
312,marvin,m,US,312,255401,25.5
313,aiden,m,US,313,254749,25.5
314,norman,m,US,314,254586,25.5
315,ian,m,US,315,254514,25.5
316,tony,m,US,316,254158,25.4
317,leo,m,US,317,253873,25.4
318,leah,f,US,318,253034,25.3
319,monica,f,US,319,251883,25.2
320,glenn,m,US,320,250653,25.1
321,isaiah,m,US,321,249316,24.9
322,chloe,f,US,322,248457,24.8
323,rodney,m,US,323,248127,24.8
324,caroline,f,US,324,248055,24.8
325,edwin,m,US,325,247935,24.8
326,melvin,m,US,326,246815,24.7
327,dana,u,US,327,246572,24.7
328,wesley,m,US,328,245260,24.5
329,alexandra,f,US,329,244997,24.5
330,sylvia,f,US,330,244949,24.5
331,alfred,m,US,331,244850,24.5
332,jesus,m,US,332,244847,24.5
333,april,f,US,333,243028,24.3
334,steve,m,US,334,242029,24.2
335,chad,m,US,335,241679,24.2
336,marcus,m,US,336,241642,24.2
337,katie,f,US,337,241287,24.1
338,riley,u,US,338,240821,24.1
339,sheila,f,US,339,239354,23.9
340,owen,m,US,340,239054,23.9
341,derek,m,US,341,238769,23.9
342,lynn,u,US,342,234691,23.5
343,connor,m,US,343,234024,23.4
344,erica,f,US,344,232485,23.2
345,lucille,f,US,345,231996,23.2
346,jeffery,m,US,346,231703,23.2
347,lucy,f,US,347,231379,23.1
348,sherry,f,US,348,230889,23.1
349,alicia,f,US,349,230811,23.1
350,avery,u,US,350,230393,23.0
351,herbert,m,US,351,229328,22.9
352,vivian,f,US,352,227375,22.7
353,eddie,m,US,353,227332,22.7
354,pauline,f,US,354,227123,22.7
355,thelma,f,US,355,226571,22.7
356,michele,f,US,356,226031,22.6
357,ricky,m,US,357,224811,22.5
358,veronica,f,US,358,223873,22.4
359,jeremiah,m,US,359,222425,22.2
360,kristen,f,US,360,220847,22.1
361,charlie,u,US,361,219996,22.0
362,suzanne,f,US,362,219726,22.0
363,calvin,m,US,363,219556,22.0
364,troy,m,US,364,218410,21.8
365,anita,f,US,365,215683,21.6
366,kim,u,US,366,214725,21.5
367,dolores,f,US,367,212704,21.3
368,oscar,m,US,368,212533,21.3
369,joanne,f,US,369,212407,21.2
370,geraldine,f,US,370,212021,21.2
371,gail,f,US,371,210681,21.1
372,claire,f,US,372,210623,21.1
373,lorraine,f,US,373,210603,21.1
374,carter,m,US,374,210119,21.0
375,ray,m,US,375,209970,21.0
376,sebastian,m,US,376,209783,21.0
377,dustin,m,US,377,209352,20.9
378,bertha,f,US,378,208774,20.9
379,rhonda,f,US,379,208639,20.9
380,juanita,f,US,380,208612,20.9
381,jill,f,US,381,208553,20.9
382,june,f,US,382,207125,20.7
383,levi,m,US,383,206601,20.7
384,mike,m,US,384,206369,20.6
385,jared,m,US,385,206307,20.6
386,holly,f,US,386,206089,20.6
387,sally,f,US,387,205673,20.6
388,darlene,f,US,388,205436,20.5
389,madeline,f,US,389,204520,20.5
390,blake,u,US,390,204479,20.4
391,wyatt,m,US,391,203133,20.3
392,stella,f,US,392,203125,20.3
393,leroy,m,US,393,201884,20.2
394,bernard,m,US,394,200931,20.1
395,randall,m,US,395,199621,20.0
396,brooke,f,US,396,199542,20.0
397,jay,m,US,397,197300,19.7
398,shane,m,US,398,195726,19.6
399,beatrice,f,US,399,195064,19.5
400,corey,m,US,400,193720,19.4
401,casey,u,US,401,193458,19.3
402,dean,m,US,402,192948,19.3
403,manuel,m,US,403,191870,19.2
404,dominic,m,US,404,191358,19.1
405,ronnie,m,US,405,190797,19.1
406,clifford,m,US,406,190128,19.0
407,miguel,m,US,407,189879,19.0
408,eileen,f,US,408,189576,19.0
409,savannah,f,US,409,189552,19.0
410,elsie,f,US,410,188705,18.9
411,gavin,m,US,411,188526,18.9
412,ida,f,US,412,188480,18.8
413,debbie,f,US,413,188263,18.8
414,nora,f,US,414,187497,18.7
415,renee,f,US,415,187285,18.7
416,naomi,f,US,416,187137,18.7
417,sydney,f,US,417,186796,18.7
418,stacy,u,US,418,186130,18.6
419,bernice,f,US,419,185497,18.5
420,landon,m,US,420,184879,18.5
421,lydia,f,US,421,184572,18.5
422,regina,f,US,422,184039,18.4
423,warren,m,US,423,184006,18.4
424,lily,f,US,424,183046,18.3
425,chase,m,US,425,182978,18.3
426,barry,m,US,426,181921,18.2
427,leon,m,US,427,181458,18.1
428,tommy,m,US,428,181214,18.1
429,kristin,f,US,429,180924,18.1
430,jo,f,US,430,180866,18.1
431,hailey,f,US,431,179122,17.9
432,sofia,f,US,432,178628,17.9
433,violet,f,US,433,178257,17.8
434,rosa,f,US,434,178136,17.8
435,gertrude,f,US,435,177651,17.8
436,loretta,f,US,436,177574,17.8
437,tara,f,US,437,176033,17.6
438,molly,f,US,438,174877,17.5
439,devin,u,US,439,173156,17.3
440,roberta,f,US,440,172267,17.2
441,cassandra,f,US,441,170919,17.1
442,bessie,f,US,442,170860,17.1
443,cathy,f,US,443,170634,17.1
444,jackie,u,US,444,170003,17.0
445,chris,u,US,445,169995,17.0
446,annette,f,US,446,169645,17.0
447,jon,m,US,447,169144,16.9
448,don,m,US,448,168745,16.9
449,laurie,f,US,449,168382,16.8
450,kaitlyn,f,US,450,166573,16.7
451,max,m,US,451,166491,16.6
452,seth,m,US,452,165768,16.6
453,alma,f,US,453,165228,16.5
454,lindsey,f,US,454,165125,16.5
455,mitchell,m,US,455,164941,16.5
456,shelby,u,US,456,164786,16.5
457,georgia,f,US,457,164380,16.4
458,jeanette,f,US,458,163902,16.4
459,jeanne,f,US,459,163578,16.4
460,colleen,f,US,460,163029,16.3
461,chelsea,f,US,461,163013,16.3
462,pearl,f,US,462,162657,16.3
463,aubrey,u,US,463,162498,16.2
464,brett,m,US,464,162372,16.2
465,rosemary,f,US,465,162280,16.2
466,alvin,m,US,466,162206,16.2
467,jerome,m,US,467,162136,16.2
468,lloyd,m,US,468,161875,16.2
469,stacey,f,US,469,161667,16.2
470,trevor,m,US,470,161369,16.1
471,bill,m,US,471,161173,16.1
472,darrell,m,US,472,160855,16.1
473,haley,f,US,473,160023,16.0
474,minnie,f,US,474,160011,16.0
475,agnes,f,US,475,159735,16.0
476,beth,f,US,476,159710,16.0
477,lillie,f,US,477,159362,15.9
478,addison,f,US,478,159245,15.9
479,carmen,u,US,479,158841,15.9
480,zoe,f,US,480,158163,15.8
481,xavier,m,US,481,157909,15.8
482,parker,u,US,482,157784,15.8
483,erik,m,US,483,157566,15.8
484,joann,f,US,484,157397,15.7
485,edgar,m,US,485,157290,15.7
486,yvonne,f,US,486,156647,15.7
487,micheal,m,US,487,156423,15.6
488,daisy,f,US,488,156125,15.6
489,lewis,m,US,489,155889,15.6
490,floyd,m,US,490,155680,15.6
491,kelsey,f,US,491,155383,15.5
492,gordon,m,US,492,155367,15.5
493,cora,f,US,493,153964,15.4
494,jim,m,US,494,153899,15.4
495,vicki,f,US,495,153559,15.4
496,gina,f,US,496,153367,15.3
497,nellie,f,US,497,152715,15.3
498,cole,m,US,498,152615,15.3
499,destiny,f,US,499,151808,15.2
500,mario,m,US,500,151662,15.2
501,johnnie,u,US,501,151182,15.1
502,eli,m,US,502,150972,15.1
503,carla,f,US,503,150588,15.1
504,heidi,f,US,504,148787,14.9
505,colton,m,US,505,148712,14.9
506,clyde,m,US,506,148567,14.9
507,ivan,m,US,507,148518,14.9
508,jenna,f,US,508,148419,14.8
509,vera,f,US,509,148368,14.8
510,vernon,m,US,510,148252,14.8
511,mackenzie,f,US,511,147679,14.8
512,paige,f,US,512,147183,14.7
513,terri,f,US,513,147009,14.7
514,faith,f,US,514,146868,14.7
515,ricardo,m,US,515,146325,14.6
516,derrick,m,US,516,146052,14.6
517,sadie,f,US,517,145728,14.6
518,lena,f,US,518,145682,14.6
519,alejandro,m,US,519,145614,14.6
520,sue,f,US,520,145042,14.5
521,maureen,f,US,521,144573,14.5
522,hayden,u,US,522,144513,14.5
523,josiah,m,US,523,143787,14.4
524,autumn,f,US,524,143464,14.3
525,arlene,f,US,525,143241,14.3
526,marian,f,US,526,143077,14.3
527,joy,f,US,527,142535,14.3
528,francisco,m,US,528,142071,14.2
529,sabrina,f,US,529,141980,14.2
530,franklin,m,US,530,141588,14.2
531,mabel,f,US,531,141163,14.1
532,marc,m,US,532,140973,14.1
533,wilma,f,US,533,140810,14.1
534,tom,m,US,534,140303,14.0
535,brent,m,US,535,140254,14.0
536,constance,f,US,536,140251,14.0
537,kaylee,f,US,537,139375,13.9
538,gabrielle,f,US,538,139099,13.9
539,jorge,m,US,539,139076,13.9
540,harper,f,US,540,138906,13.9
541,clayton,m,US,541,138819,13.9
542,maurice,m,US,542,138720,13.9
543,peyton,u,US,543,138617,13.9
544,carson,m,US,544,137777,13.8
545,kristina,f,US,545,136992,13.7
546,myrtle,f,US,546,136976,13.7
547,herman,m,US,547,136709,13.7
548,melinda,f,US,548,136061,13.6
549,brayden,m,US,549,136031,13.6
550,garrett,m,US,550,135674,13.6
551,lindsay,f,US,551,135419,13.5
552,jimmie,u,US,552,135228,13.5
553,gabriella,f,US,553,135122,13.5
554,grant,m,US,554,135103,13.5
555,billie,u,US,555,134876,13.5
556,sophie,f,US,556,134691,13.5
557,deanna,f,US,557,134657,13.5
558,charlene,f,US,558,134011,13.4
559,katelyn,f,US,559,133974,13.4
560,gene,m,US,560,133809,13.4
561,cory,m,US,561,133608,13.4
562,mattie,f,US,562,133593,13.4
563,marcia,f,US,563,133558,13.4
564,colin,m,US,564,133202,13.3
565,viola,f,US,565,133175,13.3
566,nina,f,US,566,133070,13.3
567,everett,m,US,567,132717,13.3
568,dakota,u,US,568,132430,13.2
569,isabel,f,US,569,132214,13.2
570,andre,m,US,570,131985,13.2
571,lester,m,US,571,131938,13.2
572,alexa,f,US,572,131588,13.2
573,tamara,f,US,573,131587,13.2
574,elmer,m,US,574,131169,13.1
575,nolan,m,US,575,131160,13.1
576,bailey,u,US,576,130947,13.1
577,marlene,f,US,577,130755,13.1
578,gilbert,m,US,578,130672,13.1
579,tristan,m,US,579,129641,13.0
580,micah,u,US,580,129443,12.9
581,jake,m,US,581,128856,12.9
582,claudia,f,US,582,128853,12.9
583,spencer,m,US,583,128474,12.8
584,sam,m,US,584,128347,12.8
585,jennie,f,US,585,127581,12.8
586,harvey,m,US,586,127377,12.7
587,grayson,m,US,587,127278,12.7
588,patsy,f,US,588,127138,12.7
589,glen,m,US,589,126977,12.7
590,bryce,m,US,590,126685,12.7
591,erika,f,US,591,125990,12.6
592,angelina,f,US,592,125497,12.5
593,brooklyn,f,US,593,124665,12.5
594,diego,m,US,594,124028,12.4
595,gwendolyn,f,US,595,123866,12.4
596,layla,f,US,596,123838,12.4
597,genevieve,f,US,597,123270,12.3
598,preston,m,US,598,122600,12.3
599,priscilla,f,US,599,122478,12.2
600,maggie,f,US,600,122305,12.2
601,chester,m,US,601,122197,12.2
602,jaime,u,US,602,121099,12.1
603,marissa,f,US,603,120981,12.1
604,tonya,f,US,604,120847,12.1
605,kylie,f,US,605,120829,12.1
606,elias,m,US,606,120601,12.1
607,jeff,m,US,607,120475,12.0
608,aidan,m,US,608,120089,12.0
609,maya,f,US,609,120002,12.0
610,cooper,m,US,610,118804,11.9
611,milton,m,US,611,118422,11.8
612,ariana,f,US,612,118325,11.8
613,delores,f,US,613,118230,11.8
614,camila,f,US,614,117342,11.7
615,tanya,f,US,615,117217,11.7
616,miles,m,US,616,117096,11.7
617,miriam,f,US,617,116900,11.7
618,alison,f,US,618,116827,11.7
619,ruben,m,US,619,116573,11.7
620,duane,m,US,620,116398,11.6
621,mateo,m,US,621,115641,11.6
622,maxine,f,US,622,115387,11.5
623,mae,f,US,623,114841,11.5
624,miranda,f,US,624,114730,11.5
625,mariah,f,US,625,114563,11.5
626,cecil,m,US,626,114554,11.5
627,yolanda,f,US,627,113400,11.3
628,roberto,m,US,628,112951,11.3
629,leona,f,US,629,112894,11.3
630,madelyn,f,US,630,112677,11.3
631,jocelyn,f,US,631,112609,11.3
632,caitlin,f,US,632,112351,11.2
633,reginald,m,US,633,112157,11.2
634,zoey,f,US,634,112080,11.2
635,melody,f,US,635,111958,11.2
636,joanna,f,US,636,111062,11.1
637,carole,f,US,637,110941,11.1
638,jaxon,m,US,638,110911,11.1
639,ana,f,US,639,110661,11.1
640,vickie,f,US,640,110432,11.0
641,eduardo,m,US,641,109898,11.0
642,glenda,f,US,642,109500,10.9
643,cecilia,f,US,643,109169,10.9
644,brandy,f,US,644,108799,10.9
645,sidney,u,US,645,108736,10.9
646,hector,m,US,646,108418,10.8
647,makayla,f,US,647,107627,10.8
648,maxwell,m,US,648,107524,10.8
649,hudson,m,US,649,107462,10.7
650,aaliyah,f,US,650,107420,10.7
651,javier,m,US,651,107193,10.7
652,dan,m,US,652,107039,10.7
653,damian,m,US,653,107019,10.7
654,bobbie,u,US,654,106952,10.7
655,jade,f,US,655,106429,10.6
656,dora,f,US,656,106399,10.6
657,margie,f,US,657,106389,10.6
658,scarlett,f,US,658,106042,10.6
659,ashton,u,US,659,106021,10.6
660,isabelle,f,US,660,105938,10.6
661,lance,m,US,661,105908,10.6
662,ada,f,US,662,105753,10.6
663,omar,m,US,663,105556,10.6
664,asher,m,US,664,105094,10.5
665,neil,m,US,665,104966,10.5
666,hattie,f,US,666,104763,10.5
667,gianna,f,US,667,104698,10.5
668,marsha,f,US,668,104427,10.4
669,darren,m,US,669,104320,10.4
670,arnold,m,US,670,104270,10.4
671,alexandria,f,US,671,104116,10.4
672,skylar,u,US,672,103743,10.4
673,whitney,f,US,673,103403,10.3
674,penelope,f,US,674,103268,10.3
675,elena,f,US,675,103247,10.3
676,ezra,m,US,676,103220,10.3
677,fernando,m,US,677,102907,10.3
678,arianna,f,US,678,102884,10.3
679,kay,f,US,679,102497,10.2
680,abraham,m,US,680,102484,10.2
681,brandi,f,US,681,102267,10.2
682,lincoln,m,US,682,102155,10.2
683,kara,f,US,683,101796,10.2
684,toni,f,US,684,101670,10.2
685,karl,m,US,685,101648,10.2
686,katrina,f,US,686,101645,10.2
687,lonnie,m,US,687,101366,10.1
688,kendall,u,US,688,100779,10.1
689,roland,m,US,689,100726,10.1
690,bethany,f,US,690,100718,10.1
691,ellie,f,US,691,100646,10.1
692,penny,f,US,692,100631,10.1
693,christy,f,US,693,100500,10.1
694,sierra,f,US,694,100380,10.0