word,length,category,v1,v2,freq
head,4,1,2,3,208
hoof,4,1,2,3,7
heel,4,1,2,3,6
hair,4,1,2,3,59
female,6,1,2,4,18
figure,6,1,2,4,65
male,4,1,2,4,8
mine,4,1,2,4,12
adult,5,1,1,3,5
anode,5,1,1,3,66
agent,5,1,1,3,21
young,5,1,1,2,107
giant,5,2,2,3,9
microorganism,13,1,2,5,5
algae,5,1,1,4,6
argon,5,1,1,4,7
egg,3,1,1,0,19
bird,4,3,2,0,29
ball,4,3,2,0,35
barn,4,3,2,0,22
bath,4,3,2,0,5
bell,4,3,2,0,9
bomb,4,3,2,0,8
bunk,4,3,2,0,9
back,4,3,2,0,91
bank,4,3,2,0,25
bush,4,3,2,0,5
snake,5,2,3,5,20
story,5,2,3,5,36
store,5,2,3,5,25
stage,5,2,3,5,25
stone,5,2,3,5,16
stove,5,2,3,5,5
study,5,2,3,5,90
shore,5,2,3,5,18
slope,5,2,3,5,11
serpent,7,2,2,5,5
section,7,2,2,5,43
subject,7,2,2,5,20
surface,7,2,2,5,90
anaconda,8,1,1,3,18
aluminum,8,1,1,3,5
rattlesnake,11,3,2,6,6
chicken,7,2,3,6,16
clothes,7,2,3,6,44
chamber,7,2,3,6,6
chimney,7,2,3,6,9
hen,3,1,2,0,22
hat,3,1,2,0,30
hut,3,1,2,0,14
hip,3,1,2,0,5
livestock,9,1,2,4,8
calf,4,2,2,0,6
cows,4,2,2,0,5
camp,4,2,2,0,19
card,4,2,2,0,5
cart,4,2,2,0,5
cell,4,2,2,0,71
cord,4,2,2,0,5
curb,4,2,2,0,5
feather,7,1,2,3,6
feedlot,7,1,2,3,5
feature,7,1,2,3,42
dog,3,3,2,0,42
cat,3,2,2,0,18
cow,3,2,2,0,20
cap,3,2,2,0,10
car,3,2,2,0,71
cup,3,2,2,0,14
kitten,6,1,2,5,7
kidney,6,1,2,5,9
wing,4,1,2,0,8
wall,4,1,2,0,82
wash,4,1,2,0,13
well,4,1,2,0,76
work,4,1,2,0,90
game,4,2,2,4,38
gate,4,2,2,4,18
tail,4,1,2,3,6
tool,4,1,2,3,15
tear,4,1,2,3,19
insect,6,1,1,4,8
island,6,1,1,4,13
fly,3,1,3,0,33
bee,3,3,2,3,20
bay,3,3,2,3,7
honeybee,8,1,2,4,6
bumblebee,9,3,2,6,13
andrena,7,1,1,5,8
ant,3,1,1,0,6
art,3,1,1,0,49
arm,3,1,1,0,104
larva,5,1,2,5,6
lobby,5,1,2,5,6
queen,5,2,2,3,16
quirt,5,2,2,3,7
rabbit,6,3,2,5,9
ribbon,6,3,2,5,6
mouse,5,1,2,3,14
means,5,1,2,3,50
mound,5,1,2,3,5
mouth,5,1,2,3,48
rat,3,3,2,0,5
rag,3,3,2,0,9
red,3,3,2,0,43
horse,5,1,2,5,103
buckskin,8,3,2,7,8
pig,3,3,2,0,7
pan,3,3,2,0,5
pen,3,3,2,0,8
pot,3,3,2,0,6
pit,3,3,2,0,5
cattle,6,2,2,6,25
corpse,6,2,2,6,22
oxen,4,2,1,3,6
beef,4,3,2,3,6
beam,4,3,2,3,9
boat,4,3,2,3,14
book,4,3,2,3,46
boot,4,3,2,3,13
beer,4,3,2,3,18
sheep,5,2,3,4,14
sweat,5,2,3,4,11
sheet,5,2,3,4,12
steel,5,2,3,4,20
lamb,4,1,2,0,5
lamp,4,1,2,0,12
lens,4,1,2,0,5
link,4,1,2,0,14
lock,4,1,2,0,8
lung,4,1,2,0,30
limb,4,1,2,0,6
land,4,1,2,0,22
goat,4,2,2,3,6
antelope,8,1,1,4,6
addition,8,1,1,4,5
additive,8,1,1,4,5
alveolus,8,1,1,4,5
antibody,8,1,1,4,17
man,3,1,2,0,749
map,3,1,2,0,7
mud,3,1,2,0,23
human,5,1,2,4,46
hotel,5,1,2,4,39
hilum,5,1,2,4,5
honey,5,1,2,4,9
monkey,6,1,2,5,8
mirror,6,1,2,5,8
musket,6,1,2,5,9
member,6,1,2,5,67
fish,4,1,2,0,12
farm,4,1,2,0,49
film,4,1,2,0,38
form,4,1,2,0,96
fist,4,1,2,0,20
aerator,7,1,1,2,11
aircraft,8,1,1,2,15
airplane,8,1,1,2,5
plane,5,3,3,5,21
plate,5,3,3,5,6
phone,5,3,3,5,13
ammunition,10,1,1,4,11
antenna,7,1,1,4,14
adjunct,7,1,1,4,5
albumin,7,1,1,4,9
antigen,7,1,1,4,11
hall,4,1,2,0,25
horn,4,1,2,0,7
hand,4,1,2,0,215
hill,4,1,2,0,33
apartment,9,1,1,3,32
apparatus,9,1,1,4,22
artillery,9,1,1,4,8
antiserum,9,1,1,4,6
gadget,6,2,2,5,9
garden,6,2,2,5,7
area,4,1,1,3,146
asia,4,1,1,3,0
atom,4,1,1,3,19
gun,3,2,2,0,72
gas,3,2,2,0,15
axe,3,1,1,3,8
bag,3,3,2,0,8
bar,3,3,2,0,10
bed,3,3,2,0,51
box,3,3,2,0,25
suitcase,8,2,2,3,11
purse,5,3,2,5,5
pansy,5,3,2,5,19
paste,5,3,2,5,6
luggage,7,1,2,5,6
landing,7,1,2,5,6
bandage,7,3,2,5,6
barbell,7,3,2,5,5
battery,7,3,2,5,21
bedroom,7,3,2,5,22
barge,5,3,2,5,5
belly,5,3,2,5,8
barrel,6,3,2,5,8
basket,6,3,2,5,6
bomber,6,3,2,5,9
boxcar,6,3,2,5,5
bullet,6,3,2,5,35
button,6,3,2,5,8
buffer,6,3,2,5,8
saloon,6,2,2,4,5
saline,6,2,2,4,27
sewage,6,2,2,4,19
glove,5,2,3,5,6
grave,5,2,3,5,5
globe,5,2,3,5,5
basement,8,3,2,4,18
cellar,6,2,2,5,9
cannon,6,2,2,5,11
canvas,6,2,2,5,7
center,6,2,2,5,56
collar,6,2,2,5,5
corner,6,2,2,5,20
coffee,6,2,2,5,46
catkin,6,2,2,5,7
carbon,6,2,2,5,6
cotton,6,2,2,5,6
bathroom,8,3,2,6,6
tub,3,1,2,0,7
tin,3,1,2,0,5
bayonet,7,3,2,3,5
builder,7,3,2,3,11
bench,5,3,2,0,9
bicycle,7,3,2,4,5
blanket,7,3,3,6,19
blossom,7,3,3,6,6
cover,5,2,2,4,35
cabin,5,2,2,4,5
cigar,5,2,2,4,7
block,5,3,3,0,29
brick,5,3,3,0,7
brush,5,3,3,0,11
bluff,5,3,3,0,5
brass,5,3,3,0,11
blue,4,3,3,4,48
volume,6,1,2,4,25
bottle,6,3,2,6,28
bubble,6,3,2,6,6
bristle,7,3,3,7,5
pail,4,3,2,3,5
pool,4,3,2,3,13
building,8,3,2,3,48
beebread,8,3,2,3,7
taxi,4,1,2,4,5
tape,4,1,2,4,10
tire,4,1,2,4,8
tube,4,1,2,4,26
nightclub,9,1,2,8,6
line,4,1,2,4,51
lobe,4,1,2,4,6
cafe,4,2,2,4,5
cane,4,2,2,4,5
case,4,2,2,4,72
copy,4,2,2,4,7
cure,4,2,2,4,12
cafeteria,9,2,2,4,13
cigarette,9,2,2,4,16
camera,6,2,2,4,18
colors,6,2,2,4,5
column,6,2,2,4,18
canyon,6,2,2,4,5
canteen,7,2,2,5,12
cathode,7,2,2,5,8
collage,7,2,2,5,17
costume,7,2,2,5,7
curtain,7,2,2,5,6
automobile,10,1,1,2,15
cartridge,9,2,2,6,7
ceiling,7,2,2,3,7
chair,5,2,3,4,35
cheek,5,2,3,4,22
creek,5,2,3,4,7
cloud,5,2,3,4,24
chapel,6,2,3,5,8
church,6,2,3,0,60
classroom,9,2,3,7,5
clock,5,2,3,0,15
cloth,5,2,3,0,16
chest,5,2,3,0,34
clothing,8,2,3,6,9
coat,4,2,2,3,29
coal,4,2,2,3,5
commuter,8,2,2,5,6
computer,8,2,2,5,6
corridor,8,2,2,5,9
constituent,11,2,2,6,7
element,7,1,1,3,34
container,9,2,2,5,5
continent,9,2,2,5,5
cellulose,9,2,2,5,5
conjugate,9,2,2,5,22
court,5,2,2,3,42
couch,5,2,2,3,5
coast,5,2,2,3,20
deck,4,3,2,0,6
desk,4,3,2,0,24
dish,4,3,2,0,9
disc,4,3,2,0,10
dust,4,3,2,0,38
dirt,4,3,2,0,14
pattern,7,3,2,5,28
picture,7,3,2,5,25
pottery,7,3,2,5,10
sensor,6,2,2,5,7
system,6,2,2,5,43
septum,6,2,2,5,6
supper,6,2,2,5,14
device,6,3,2,4,36
dugout,6,3,2,4,7
dipole,6,3,2,4,6
diagram,7,3,2,3,6
doorway,7,3,2,3,11
diaphragm,9,3,2,3,5
die,3,3,2,3,141
dice,4,3,2,4,9
divan,5,3,2,4,5
door,4,3,2,3,98
diet,4,3,2,3,8
drawer,6,3,3,5,5
drawing,7,3,3,5,7
dress,5,3,3,0,15
drink,5,3,3,0,30
drive,5,3,3,5,56
driveway,8,3,3,5,5
drug,4,3,3,0,30
drum,4,3,3,0,5
draw,4,3,3,0,13
drugstore,9,3,3,7,6
dwelling,8,3,3,6,11
home,4,1,2,4,59
hole,4,1,2,4,12
edge,4,1,1,4,28
elevator,8,1,1,3,5
electron,8,1,1,3,12
embankment,10,1,1,4,5
output,6,2,1,2,5
engine,6,1,1,4,9
enzyme,6,1,1,4,7
entrance,8,1,1,5,10
effluent,8,1,1,5,19
envelope,8,1,1,4,9
etcetera,8,1,1,4,8
equipment,9,1,1,3,48
epiphysis,9,1,1,3,5
freeway,7,1,3,4,7
fabric,6,1,2,5,11
finger,6,1,2,5,53
material,8,1,2,4,73
manifold,8,1,2,4,11
monument,8,1,2,4,7
molecule,8,1,2,4,9
textile,7,1,2,5,7
facility,8,1,2,4,35
forehead,8,1,2,4,8
factory,7,1,2,5,18
fallout,7,1,2,5,10
fence,5,1,2,5,32
firearm,7,1,2,4,6
foliage,7,1,2,4,6
fireplace,9,1,2,4,5
flag,4,1,3,0,31
flight,6,1,3,0,6
floor,5,1,3,4,38
fruit,5,1,3,4,10
fluid,5,1,3,4,25
foil,4,1,2,3,5
foot,4,1,2,3,89
feed,4,1,2,3,47
fuel,4,1,2,3,5
fraction,8,1,3,6,22
fragment,8,1,3,6,7
frame,5,1,3,5,7
furniture,9,1,2,5,11
garage,6,2,2,4,12
glass,5,2,3,0,22
gland,5,2,3,0,6
grass,5,2,3,0,41
gown,4,2,2,0,5
tomb,4,1,2,0,6
tank,4,1,2,0,7
tent,4,1,2,0,17
greatcoat,9,2,3,4,5
grenade,7,2,3,5,5
trigger,7,1,3,6,5
hallway,7,1,2,6,5
highway,7,1,2,6,12
holster,7,1,2,6,5
handkerchief,12,1,2,6,6
headlight,9,1,2,3,5
headquarters,12,1,2,3,7
highroad,8,1,2,6,6
holder,6,1,2,5,23
horror,6,1,2,5,10
hudson,6,1,2,5,0
hospital,8,1,2,5,25
hydrogen,8,1,2,5,6
house,5,1,2,3,157
heart,5,1,2,3,42
instrument,10,1,1,6,23
interchange,11,1,1,4,5
invention,9,1,1,4,6
item,4,1,1,3,31
iron,4,1,1,3,15
jacket,6,2,2,5,12
jeep,4,2,2,3,5
key,3,1,2,3,14
kitchen,7,1,2,6,43
knife,5,1,3,5,6
laboratory,10,1,2,4,19
ladder,6,1,2,5,5
lumber,6,1,2,5,6
layer,5,1,2,3,8
light,5,1,2,0,46
lunch,5,1,2,0,12
quarters,8,2,2,3,6
load,4,1,2,3,9
leaf,4,1,2,3,20
lead,4,1,2,3,40
machine,7,1,2,5,33
missile,7,1,2,5,10
mixture,7,1,2,5,11
mercury,7,1,2,5,6
machinery,9,1,2,5,15
manometer,9,1,2,4,6
meteorite,9,1,2,4,8
product,7,3,3,5,52
protein,7,3,3,5,23
microscope,10,1,2,5,7
monocle,7,1,2,4,5
micelle,7,1,2,4,11
mineral,7,1,2,4,9
motif,5,1,2,4,5
motor,5,1,2,4,6
metal,5,1,2,4,21
mulch,5,1,2,0,5
tie,3,1,2,3,13
toe,3,1,2,3,13
tea,3,1,2,3,5
office,6,2,1,4,62
oil,3,2,1,2,10
opium,5,2,1,3,14
ocean,5,2,1,3,8
paint,5,3,2,3,17
piano,5,3,2,3,10
piece,5,3,2,3,23
painting,8,3,2,3,13
parlor,6,3,2,5,8
pencil,6,3,2,5,7
pillow,6,3,2,5,8
pistol,6,3,2,5,17
pocket,6,3,2,5,21
portal,6,3,2,5,5
pollen,6,3,2,5,10
powder,6,3,2,5,15
part,4,3,2,0,113
path,4,3,2,0,10
pill,4,3,2,0,6
pond,4,3,2,0,26
pegboard,8,3,2,5,8
particle,8,3,2,5,33
record,6,3,2,4,34
region,6,3,2,4,65
ration,6,3,2,4,7
radish,6,3,2,4,8
photograph,10,3,3,5,17
production,10,3,3,5,36
protection,10,3,3,5,18
image,5,1,1,3,31
ivory,5,1,1,3,6
pipe,4,3,2,4,6
pole,4,3,2,4,6
plan,4,3,3,0,63
plug,4,3,3,0,15
plant,5,3,3,0,63
plank,5,3,3,0,9
works,5,1,2,0,5
watch,5,1,2,0,77
world,5,1,2,0,49
platform,8,3,3,6,5
porch,5,3,2,0,21
rack,4,3,2,0,5
rock,4,3,2,0,14
radar,5,3,2,4,11
radio,5,3,2,4,9
razor,5,3,2,4,5
rotor,5,3,2,4,6
river,5,3,2,4,55
rail,4,3,2,3,5
rein,4,3,2,3,5
road,4,3,2,3,94
roof,4,3,2,3,34
room,4,3,2,3,116
root,4,3,2,3,11
rain,4,3,2,3,25
railroad,8,3,2,3,13
recording,9,3,2,4,14
reflector,9,3,2,5,6
release,7,3,2,4,12
representation,14,3,2,5,10
resistor,8,3,2,4,7
restaurant,10,3,2,5,7
rifle,5,3,2,5,75
ridge,5,3,2,5,6
right,5,3,2,0,41
roadway,7,3,2,3,11
rope,4,3,2,4,5
rice,4,3,2,4,5
rose,4,3,2,4,5
round,5,3,2,3,12
saddle,6,2,2,6,14
safe,4,2,2,4,25
side,4,2,2,4,91
sofa,4,2,2,4,5
school,6,2,4,5,125
street,6,2,4,5,86
stream,6,2,4,5,20
sculpture,9,2,3,7,9
shelf,5,2,3,0,8
shell,5,2,3,0,14
shirt,5,2,3,0,15
skiff,5,2,3,0,7
steps,5,2,3,0,27
stall,5,2,3,0,10
stick,5,2,3,0,7
stuff,5,2,3,0,5
sword,5,2,3,0,9
skull,5,2,3,0,5
shunt,5,2,3,0,5
stump,5,2,3,0,5
shelter,7,2,3,6,56
shutter,7,2,3,6,5
slipper,7,2,3,6,5
ship,4,2,3,0,49
shop,4,2,3,0,9
shot,4,2,3,0,24
slit,4,2,3,0,5
skin,4,2,3,0,11
star,4,2,3,0,8
stem,4,2,3,0,23
snow,4,2,3,0,13
shoe,4,2,3,4,27
shower,6,2,3,5,5
statue,6,2,3,5,5
stereo,6,2,3,5,5
studio,6,2,3,5,15
sidewalk,8,2,2,4,16
solution,8,2,2,4,12
silk,4,2,2,0,6
salt,4,2,2,0,9
sand,4,2,2,0,10
sketch,6,2,3,0,15
sleeve,6,2,3,4,5
stairs,6,2,3,4,15
soap,4,2,2,3,9
suit,4,2,2,3,13
seed,4,2,2,3,12
soil,4,2,2,3,24
sonar,5,2,2,4,6
serum,5,2,2,4,34
sugar,5,2,2,4,5
solid,5,2,2,4,14
source,6,2,2,3,34
sphere,6,2,4,6,5
station,7,2,3,5,23
stomach,7,2,3,5,23
steeple,7,2,3,4,12
wheel,5,1,3,4,12
string,6,2,4,0,5
strip,5,2,4,0,8
straw,5,2,4,0,10
structure,9,2,4,7,24
submarine,9,2,2,5,7
subsection,10,2,2,5,12
suspension,10,2,2,5,6
total,5,1,2,4,31
towel,5,1,2,4,6
table,5,1,2,5,52
torso,5,1,2,5,6
telephone,9,1,2,4,18
temple,6,1,2,6,6
theater,7,1,3,4,7
theatre,7,1,3,4,9
treetop,7,1,3,4,5
thermocouple,12,1,3,6,6
thermometer,11,1,3,6,10
thing,5,1,3,0,72
truck,5,1,3,0,20
thigh,5,1,3,0,9
thumb,5,1,3,0,5
track,5,1,3,0,6
train,5,1,3,4,24
trail,5,1,3,4,8
transducer,10,1,3,7,11
transportation,14,1,3,7,7
tray,4,1,3,4,12
tree,4,1,3,4,107
uniform,7,2,1,3,18
university,10,2,1,3,20
vase,4,1,2,4,12
vine,4,1,2,4,7
vehicle,7,1,2,4,9
vessel,6,1,2,5,6
valley,6,1,2,5,27
wagon,5,1,2,4,24
water,5,1,2,4,136
warehouse,9,1,2,4,5
watercolor,10,1,2,4,9
way,3,1,2,3,183
weapon,6,1,2,3,29
weight,6,1,2,3,26
arms,4,1,1,0,11
window,6,1,2,5,72
willow,6,1,2,5,8
wire,4,1,2,4,15
wine,4,1,2,4,9
workbench,9,1,2,6,8
workshop,8,1,2,7,6
yard,4,1,1,2,34
grounds,7,2,3,4,6
body,4,3,2,4,113
bone,4,3,2,4,10
flesh,5,1,3,0,12
anastomosis,11,1,1,3,7
beard,5,3,2,3,8
beach,5,3,2,3,14
bough,5,3,2,3,6
board,5,3,2,3,28
mustache,8,1,2,5,6
tissue,6,1,2,5,37
tongue,6,1,2,5,13
tooth,5,1,2,3,38
toast,5,1,2,3,5
muscle,6,1,2,6,43
marble,6,1,2,6,8
organ,5,2,1,4,8
lip,3,1,2,0,57
leg,3,1,2,0,75
lap,3,1,2,0,11
log,3,1,2,0,7
eye,3,1,1,2,263
ear,3,1,1,2,36
mucosa,6,1,2,4,5
meteor,6,1,2,4,6
thyroid,7,1,3,5,29
artery,6,1,1,4,5
africa,6,1,1,4,0
active,6,1,1,4,16
liver,5,1,2,4,11
pleura,6,3,3,4,6
blood,5,3,3,4,61
brain,5,3,3,4,22
plasma,6,3,3,6,5
perspiration,12,3,2,6,5
hormone,7,1,2,5,6
thyroxine,9,1,3,5,9
vein,4,1,2,3,8
nucleus,7,1,2,5,10
neutrophil,10,1,2,3,5
nerve,5,1,2,5,6
neocortex,9,1,2,3,5
pituitary,9,3,2,4,5
potassium,9,3,2,4,5
hypothalamus,12,1,2,4,18
bronchus,8,3,3,7,7
bronchiole,10,3,3,7,13
jaw,3,2,2,0,9
neck,4,1,2,0,34
nest,4,1,2,0,14
throat,6,1,4,5,34
shoulder,8,2,3,4,65
breast,6,3,3,4,6
breath,6,3,3,4,15
knee,4,1,3,4,51
ankle,5,1,1,5,7
elbow,5,1,1,4,9
wrist,5,1,3,0,9
nose,4,1,2,4,28
chin,4,2,3,0,14
crop,4,2,3,0,8
face,4,1,2,4,193
brow,4,3,3,0,9
meal,4,1,2,3,20
moon,4,1,2,3,1
breakfast,9,3,3,4,12
dinner,6,3,2,5,25
debris,6,3,2,5,5
sandwich,8,2,2,6,6
vegetable,9,1,2,4,5
avocado,7,1,1,3,15
anionic,7,1,1,3,7
hay,3,1,2,3,11
eggs,4,1,1,0,6
milk,4,1,2,0,20
mars,4,1,2,0,0
mass,4,1,2,0,35
champagne,9,2,3,6,6
liquor,6,1,2,4,11
lagoon,6,1,2,4,12
liquid,6,1,2,4,19
whiskey,7,1,3,6,6
whisky,6,1,3,6,19
aegean,6,1,1,2,0
earth,5,1,1,2,20
europe,6,1,1,2,0
ion,3,1,1,2,8
jupiter,7,2,2,4,0
ground,6,2,3,4,86
micrometeorite,14,1,2,5,11
mississippi,11,1,2,5,0
mountain,8,1,2,3,17
nature,6,1,2,4,41
necessity,9,1,2,4,11
requirement,11,3,2,4,19
need,4,1,2,3,110
opening,7,2,1,3,8
pacific,7,3,2,4,0
course,6,2,2,3,61
pebble,6,3,2,6,5
field,5,1,2,3,49
planet,6,3,3,5,21
sea,3,2,2,3,37
sky,3,2,3,0,49
sun,3,2,2,0,42
universe,8,2,1,3,12
venus,5,1,2,4,0
vapor,5,1,2,4,5
flower,6,1,3,5,31
pseudophloem,12,3,3,4,6
branch,6,3,3,0,19
impurity,8,1,1,4,8
chlorine,8,2,4,6,32
helium,6,1,2,4,15
iodine,6,1,1,2,17
iodide,6,1,1,2,7
nitrogen,8,1,2,5,5
oxygen,6,2,1,3,39
zinc,4,1,2,0,6
leather,7,1,2,3,11
fur,3,1,2,0,8
graphite,8,2,3,6,5
chemical,8,2,3,5,11
clay,4,2,3,4,11
concrete,8,2,2,6,16
air,3,1,1,2,42
waste,5,1,2,5,10
fiber,5,1,2,4,14
formulation,11,1,2,5,11
preparation,11,3,3,5,14
ice,3,1,1,3,22
thyroglobulin,13,1,3,5,16
paper,5,3,2,4,30
pyrex,5,3,2,4,0
phosphate,9,3,3,7,9
polyphosphate,13,3,2,4,6
protease,8,3,3,5,5
agglutinin,10,1,1,5,8
wax,3,1,2,0,7
detergent,9,3,2,4,22
wood,4,1,2,3,14
